sent, beacons, sinkRecv, downRecv, pprUp, pprDown, ipRecv, tempRoutes, defaultRoutes
2000, 34592, 1729, 278, 0.21713615023474178, 0, NA, NA
NA, NA, NA, NA, NA, NA, NA, 0, 1
NA, NA, NA, NA, NA, NA, NA, 0, 11
NA, NA, NA, NA, NA, NA, NA, 0, 5
NA, NA, NA, NA, NA, NA, NA, 0, 20
NA, NA, NA, NA, NA, NA, NA, 0, 11
NA, NA, NA, NA, NA, NA, NA, 0, 10
NA, NA, NA, NA, NA, NA, NA, 0, 20
NA, NA, NA, NA, NA, NA, NA, 0, 7
NA, NA, NA, NA, NA, NA, NA, 0, 7
NA, NA, NA, NA, NA, NA, NA, 0, 3
NA, NA, NA, NA, NA, NA, NA, 0, 3
NA, NA, NA, NA, NA, NA, NA, 0, 12
NA, NA, NA, NA, NA, NA, NA, 0, 9
NA, NA, NA, NA, NA, NA, NA, 0, 18
NA, NA, NA, NA, NA, NA, NA, 0, 10
NA, NA, NA, NA, NA, NA, NA, 0, 17
NA, NA, NA, NA, NA, NA, NA, 0, 13
NA, NA, NA, NA, NA, NA, NA, 0, 10
NA, NA, NA, NA, NA, NA, NA, 0, 6
NA, NA, NA, NA, NA, NA, NA, 0, 3
NA, NA, NA, NA, NA, NA, NA, 0, 4
NA, NA, NA, NA, NA, NA, NA, 0, 8
NA, NA, NA, NA, NA, NA, NA, 0, 11
NA, NA, NA, NA, NA, NA, NA, 0, 16
NA, NA, NA, NA, NA, NA, NA, 0, 17
NA, NA, NA, NA, NA, NA, NA, 0, 20
NA, NA, NA, NA, NA, NA, NA, 0, 16
NA, NA, NA, NA, NA, NA, NA, 0, 11
NA, NA, NA, NA, NA, NA, NA, 0, 12
NA, NA, NA, NA, NA, NA, NA, 0, 2
NA, NA, NA, NA, NA, NA, NA, 0, 10
NA, NA, NA, NA, NA, NA, NA, 0, 8
NA, NA, NA, NA, NA, NA, NA, 0, 17
NA, NA, NA, NA, NA, NA, NA, 0, 20
NA, NA, NA, NA, NA, NA, NA, 0, 20
NA, NA, NA, NA, NA, NA, NA, 0, 20
NA, NA, NA, NA, NA, NA, NA, 0, 20
NA, NA, NA, NA, NA, NA, NA, 0, 20
NA, NA, NA, NA, NA, NA, NA, 0, 20
NA, NA, NA, NA, NA, NA, NA, 0, 13
NA, NA, NA, NA, NA, NA, NA, 0, 5
NA, NA, NA, NA, NA, NA, NA, 0, 12
NA, NA, NA, NA, NA, NA, NA, 0, 20
NA, NA, NA, NA, NA, NA, NA, 0, 20
NA, NA, NA, NA, NA, NA, NA, 0, 20
NA, NA, NA, NA, NA, NA, NA, 0, 20
NA, NA, NA, NA, NA, NA, NA, 0, 20
NA, NA, NA, NA, NA, NA, NA, 0, 20
NA, NA, NA, NA, NA, NA, NA, 0, 17
NA, NA, NA, NA, NA, NA, NA, 0, 12
NA, NA, NA, NA, NA, NA, NA, 0, 3
NA, NA, NA, NA, NA, NA, NA, 0, 12
NA, NA, NA, NA, NA, NA, NA, 0, 20
NA, NA, NA, NA, NA, NA, NA, 0, 20
NA, NA, NA, NA, NA, NA, NA, 0, 20
NA, NA, NA, NA, NA, NA, NA, 0, 20
NA, NA, NA, NA, NA, NA, NA, 0, 20
NA, NA, NA, NA, NA, NA, NA, 0, 20
NA, NA, NA, NA, NA, NA, NA, 0, 13
NA, NA, NA, NA, NA, NA, NA, 0, 16
NA, NA, NA, NA, NA, NA, NA, 0, 3
NA, NA, NA, NA, NA, NA, NA, 0, 7
NA, NA, NA, NA, NA, NA, NA, 0, 14
NA, NA, NA, NA, NA, NA, NA, 0, 16
NA, NA, NA, NA, NA, NA, NA, 0, 20
NA, NA, NA, NA, NA, NA, NA, 0, 19
NA, NA, NA, NA, NA, NA, NA, 0, 17
NA, NA, NA, NA, NA, NA, NA, 0, 13
NA, NA, NA, NA, NA, NA, NA, 0, 14
NA, NA, NA, NA, NA, NA, NA, 0, 18
NA, NA, NA, NA, NA, NA, NA, 0, 4
NA, NA, NA, NA, NA, NA, NA, 0, 6
NA, NA, NA, NA, NA, NA, NA, 0, 11
NA, NA, NA, NA, NA, NA, NA, 0, 15
NA, NA, NA, NA, NA, NA, NA, 0, 20
NA, NA, NA, NA, NA, NA, NA, 0, 16
NA, NA, NA, NA, NA, NA, NA, 0, 20
NA, NA, NA, NA, NA, NA, NA, 0, 12
NA, NA, NA, NA, NA, NA, NA, 0, 13
NA, NA, NA, NA, NA, NA, NA, 0, 9
NA, NA, NA, NA, NA, NA, NA, 0, 4
NA, NA, NA, NA, NA, NA, NA, 0, 7
NA, NA, NA, NA, NA, NA, NA, 0, 13
NA, NA, NA, NA, NA, NA, NA, 0, 18
NA, NA, NA, NA, NA, NA, NA, 0, 20
NA, NA, NA, NA, NA, NA, NA, 0, 20
NA, NA, NA, NA, NA, NA, NA, 0, 18
NA, NA, NA, NA, NA, NA, NA, 0, 6
NA, NA, NA, NA, NA, NA, NA, 0, 20
NA, NA, NA, NA, NA, NA, NA, 0, 10
NA, NA, NA, NA, NA, NA, NA, 0, 13
NA, NA, NA, NA, NA, NA, NA, 0, 20
NA, NA, NA, NA, NA, NA, NA, 0, 14
NA, NA, NA, NA, NA, NA, NA, 0, 7
NA, NA, NA, NA, NA, NA, NA, 0, 10
NA, NA, NA, NA, NA, NA, NA, 0, 10
NA, NA, NA, NA, NA, NA, NA, 0, 9
NA, NA, NA, NA, NA, NA, NA, 0, 3
NA, NA, NA, NA, NA, NA, NA, 0, 2
NA, NA, NA, NA, NA, NA, NA, 0, 1
NA, NA, NA, NA, NA, NA, NA, 0, 20
